2025-02-01 01:45:41,986 - INFO - Total Parameters: 134,515,008
2025-02-01 01:45:41,986 - INFO - Trainable Parameters: 134,515,008
2025-02-01 01:45:58,592 - INFO - Epoch 0, Step 0, Loss: 11.355476, Best Loss: 11.355476
2025-02-01 01:46:09,209 - INFO - Epoch 0, Step 1, Loss: 11.328232, Best Loss: 11.328232
2025-02-01 01:46:19,635 - INFO - Epoch 0, Step 2, Loss: 11.316939, Best Loss: 11.316939
2025-02-01 01:46:27,642 - INFO - Epoch 0, Step 3, Loss: 11.357376, Best Loss: 11.316939
2025-02-01 01:46:38,116 - INFO - Epoch 0, Step 4, Loss: 11.305080, Best Loss: 11.305080
2025-02-01 01:46:46,129 - INFO - Epoch 0, Step 5, Loss: 11.334230, Best Loss: 11.305080
2025-02-01 01:46:54,134 - INFO - Epoch 0, Step 6, Loss: 11.323222, Best Loss: 11.305080
2025-02-01 01:47:02,250 - INFO - Epoch 0, Step 7, Loss: 11.343060, Best Loss: 11.305080
2025-02-01 01:47:15,049 - INFO - Epoch 0, Step 8, Loss: 10.165360, Best Loss: 10.165360
2025-02-01 01:47:23,077 - INFO - Epoch 0, Step 9, Loss: 10.364421, Best Loss: 10.165360
2025-02-01 01:47:31,083 - INFO - Epoch 0, Step 10, Loss: 10.328438, Best Loss: 10.165360
2025-02-01 01:47:39,095 - INFO - Epoch 0, Step 11, Loss: 10.284453, Best Loss: 10.165360
2025-02-01 01:47:47,103 - INFO - Epoch 0, Step 12, Loss: 10.252936, Best Loss: 10.165360
2025-02-01 01:47:55,117 - INFO - Epoch 0, Step 13, Loss: 10.255098, Best Loss: 10.165360
2025-02-01 01:48:03,129 - INFO - Epoch 0, Step 14, Loss: 10.229718, Best Loss: 10.165360
2025-02-01 01:48:11,170 - INFO - Epoch 0, Step 15, Loss: 10.170093, Best Loss: 10.165360
2025-02-01 01:48:24,144 - INFO - Epoch 0, Step 16, Loss: 9.609702, Best Loss: 9.609702
2025-02-01 01:48:37,017 - INFO - Epoch 0, Step 17, Loss: 9.572326, Best Loss: 9.572326
2025-02-01 01:48:45,034 - INFO - Epoch 0, Step 18, Loss: 9.672553, Best Loss: 9.572326
2025-02-01 01:48:53,047 - INFO - Epoch 0, Step 19, Loss: 9.794194, Best Loss: 9.572326
2025-02-01 01:49:01,059 - INFO - Epoch 0, Step 20, Loss: 9.672547, Best Loss: 9.572326
2025-02-01 01:49:09,071 - INFO - Epoch 0, Step 21, Loss: 9.692900, Best Loss: 9.572326
2025-02-01 01:49:17,075 - INFO - Epoch 0, Step 22, Loss: 9.756322, Best Loss: 9.572326
2025-02-01 01:49:25,115 - INFO - Epoch 0, Step 23, Loss: 9.594298, Best Loss: 9.572326
2025-02-01 01:49:33,122 - INFO - Epoch 0, Step 24, Loss: 9.637396, Best Loss: 9.572326
2025-02-01 01:49:46,106 - INFO - Epoch 0, Step 25, Loss: 9.506320, Best Loss: 9.506320
2025-02-01 01:49:54,126 - INFO - Epoch 0, Step 26, Loss: 9.604780, Best Loss: 9.506320
2025-02-01 01:50:07,088 - INFO - Epoch 0, Step 27, Loss: 9.485121, Best Loss: 9.485121
2025-02-01 01:50:15,102 - INFO - Epoch 0, Step 28, Loss: 9.504490, Best Loss: 9.485121
2025-02-01 01:50:23,105 - INFO - Epoch 0, Step 29, Loss: 9.496497, Best Loss: 9.485121
2025-02-01 01:50:31,111 - INFO - Epoch 0, Step 30, Loss: 9.506480, Best Loss: 9.485121
2025-02-01 01:50:39,152 - INFO - Epoch 0, Step 31, Loss: 9.606174, Best Loss: 9.485121
2025-02-01 01:50:52,436 - INFO - Epoch 0, Step 32, Loss: 9.240860, Best Loss: 9.240860
2025-02-01 01:51:05,667 - INFO - Epoch 0, Step 33, Loss: 9.163876, Best Loss: 9.163876
2025-02-01 01:51:13,698 - INFO - Epoch 0, Step 34, Loss: 9.177859, Best Loss: 9.163876
2025-02-01 01:51:26,296 - INFO - Epoch 0, Step 35, Loss: 9.110465, Best Loss: 9.110465
2025-02-01 01:51:34,318 - INFO - Epoch 0, Step 36, Loss: 9.125672, Best Loss: 9.110465
2025-02-01 01:51:42,331 - INFO - Epoch 0, Step 37, Loss: 9.159636, Best Loss: 9.110465
2025-02-01 01:51:50,340 - INFO - Epoch 0, Step 38, Loss: 9.206100, Best Loss: 9.110465
2025-02-01 01:52:03,393 - INFO - Epoch 0, Step 39, Loss: 9.046192, Best Loss: 9.046192
2025-02-01 01:52:16,084 - INFO - Epoch 0, Step 40, Loss: 8.878356, Best Loss: 8.878356
2025-02-01 01:52:28,643 - INFO - Epoch 0, Step 41, Loss: 8.764251, Best Loss: 8.764251
2025-02-01 01:52:36,653 - INFO - Epoch 0, Step 42, Loss: 8.872409, Best Loss: 8.764251
2025-02-01 01:52:44,667 - INFO - Epoch 0, Step 43, Loss: 8.835476, Best Loss: 8.764251
2025-02-01 01:52:52,674 - INFO - Epoch 0, Step 44, Loss: 8.832664, Best Loss: 8.764251
2025-02-01 01:53:00,687 - INFO - Epoch 0, Step 45, Loss: 8.861755, Best Loss: 8.764251
2025-02-01 01:53:08,700 - INFO - Epoch 0, Step 46, Loss: 8.809513, Best Loss: 8.764251
2025-02-01 01:53:16,738 - INFO - Epoch 0, Step 47, Loss: 8.796977, Best Loss: 8.764251
2025-02-01 01:53:29,233 - INFO - Epoch 0, Step 48, Loss: 8.472565, Best Loss: 8.472565
2025-02-01 01:53:37,278 - INFO - Epoch 0, Step 49, Loss: 8.492607, Best Loss: 8.472565
2025-02-01 01:53:45,284 - INFO - Epoch 0, Step 50, Loss: 8.495914, Best Loss: 8.472565
2025-02-01 01:53:53,292 - INFO - Epoch 0, Step 51, Loss: 8.635228, Best Loss: 8.472565
2025-02-01 01:54:01,303 - INFO - Epoch 0, Step 52, Loss: 8.503787, Best Loss: 8.472565
2025-02-01 01:54:09,313 - INFO - Epoch 0, Step 53, Loss: 8.539127, Best Loss: 8.472565
2025-02-01 01:54:17,321 - INFO - Epoch 0, Step 54, Loss: 8.485816, Best Loss: 8.472565
2025-02-01 01:54:25,360 - INFO - Epoch 0, Step 55, Loss: 8.591073, Best Loss: 8.472565
2025-02-01 01:54:37,869 - INFO - Epoch 0, Step 56, Loss: 8.319328, Best Loss: 8.319328
2025-02-01 01:54:50,345 - INFO - Epoch 0, Step 57, Loss: 8.281075, Best Loss: 8.281075
2025-02-01 01:54:58,361 - INFO - Epoch 0, Step 58, Loss: 8.340429, Best Loss: 8.281075
2025-02-01 01:55:10,740 - INFO - Epoch 0, Step 59, Loss: 8.224781, Best Loss: 8.224781
2025-02-01 01:55:18,759 - INFO - Epoch 0, Step 60, Loss: 8.363997, Best Loss: 8.224781
2025-02-01 01:55:31,163 - INFO - Epoch 0, Step 61, Loss: 8.209949, Best Loss: 8.209949
2025-02-01 01:55:42,873 - INFO - Epoch 0, Step 62, Loss: 8.086812, Best Loss: 8.086812
2025-02-01 01:55:50,911 - INFO - Epoch 0, Step 63, Loss: 8.326598, Best Loss: 8.086812
2025-02-01 01:56:03,319 - INFO - Epoch 0, Step 64, Loss: 7.930889, Best Loss: 7.930889
2025-02-01 01:56:11,330 - INFO - Epoch 0, Step 65, Loss: 8.086477, Best Loss: 7.930889
2025-02-01 01:56:19,342 - INFO - Epoch 0, Step 66, Loss: 8.066531, Best Loss: 7.930889
